Tract_ID,P2010,None,Baseline_only,Baseline,Elev,LC,RZ,Soil,SPI,Tree,Static,Static_reduced,Dynamic,Dynamic_reduced,Full,Full_reduced
48091310300,6823,0.170002088,0.170002088,0.170002088,0.369991735,0.217662912,0.312332963,0.1700739,0.263130623,0.418998329,0.415109613,0.427078533,0.30166758,0.281112163,0.378522187,0.414839673
48091310401,5626,0.164203649,0.164203649,0.164203649,0.357636635,0.369343017,0.142529532,0.165306563,0.275239873,0.338589158,0.470831142,0.463089936,0.317639227,0.28499094,0.43871184,0.40484886
48091310403,5537,0.155734707,0.155734707,0.155734707,0.417827985,0.411856162,0.185022169,0.19963011,0.243765435,0.312496425,0.477239859,0.429691532,0.287033947,0.30344394,0.444721297,0.4193834
48091310404,4311,0.183743918,0.183743918,0.183743918,0.393708807,0.369029002,0.220982207,0.168928863,0.22420364,0.346729171,0.451543563,0.466518599,0.258124407,0.247327177,0.380674993,0.380457067
48091310501,3447,0.138579846,0.138579846,0.138579846,0.344490462,0.266381521,0.221778118,0.186922757,0.267646755,0.398961445,0.391188395,0.398157349,0.304063817,0.28173542,0.38868889,0.36262578
48091310502,4443,0.155744912,0.155744912,0.155744912,0.308914005,0.419641044,0.14580425,0.185401817,0.209222028,0.348701001,0.43722107,0.435276247,0.241077527,0.25137135,0.426746507,0.398625937
48091310503,3555,0.181615589,0.181615589,0.181615589,0.289266962,0.374314053,0.261970994,0.18091787,0.241072427,0.357711653,0.421691682,0.437435299,0.28585492,0.290395533,0.396435917,0.375188223
48091310603,3057,0.065136448,0.065136448,0,0,0,0,0,0,0,0,0,0,0,0,0
48091310604,2664,0.039234181,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48091310605,4862,0.049166948,0.049166948,0,0,0,0,0,0,0,0,0,0,0,0,0
48091310606,4464,0.054285838,0.054285838,0,0,0,0,0,0,0,0,0,0,0,0,0
48091310607,4694,0.04959519,0.04959519,0,0,0,0,0,0,0,0,0,0,0,0,0
48091310608,3426,0.048516578,0.048516578,0,0,0,0,0,0,0,0,0,0,0,0,0
48091310701,5657,0.044415927,0.044415927,0,0,0,0,0,0,0,0,0,0,0,0,0
48091310702,4792,0.052799761,0.052799761,0,0,0,0,0,0,0,0,0,0,0,0,0
48091310703,5430,0.052232795,0.052232795,0,0,0,0,0,0,0,0,0,0,0,0,0
48091310704,5690,0.053125199,0.053125199,0,0,0,0,0,0,0,0,0,0,0,0,0
48091310801,4949,0.087639937,0.087639937,0,0,0,0,0,0,0,0,0,0,0,0,0
48091310802,5631,0.109099728,0.109099728,0.109099728,0.279606913,0.388336675,0.337927278,0.16298348,0.294770085,0.37640929,0.424570405,0.435941189,0.299422447,0.241144103,0.459933683,0.435516823
48091310901,4040,0.066072176,0.066072176,0,0,0,0,0,0,0,0,0,0,0,0,0
