Year,Month,Day,Hour,Lat,Lon,Wind_mph
2018,09,12,00,28.0,-67.9,138.09360
2018,09,12,12,29.6,-70.8,144.99828
2018,09,13,00,31.3,-73.4,144.99828
2018,09,13,12,32.7,-75.4,136.94282
2018,09,14,00,33.7,-76.6,126.58580
2018,09,14,12,34.2,-77.4,113.92722
2018,09,15,00,34.6,-78.1,90.91162
2018,09,15,12,34.9,-78.7,58.68978
2018,09,16,00,35.2,-79.7,36.82496
2018,09,16,12,35.6,-81.1,27.61872
2018,09,17,00,36.3,-82.3,21.86482
