Year,Month,Day,Hour,Lat,Lon,Wind_mph
2018,09,10,18,25.2,-60.6,138.09360
2018,09,10,21,25.4,-61.1,138.09360
2018,09,11,06,26.0,-63.2,149.60140
2018,09,11,18,27.0,-66.2,155.35530
2018,09,12,06,28.6,-69.3,155.35530
2018,09,12,18,30.4,-72.2,149.60140
2018,09,13,18,33.7,-77.0,138.09360
2018,09,14,18,35.6,-78.8,57.53900
2018,09,15,18,36.5,-79.5,28.76950
